,rank,name,year,Douban_rating,country,genres,budget,revenue,keywords,MLens_rating
123,124,The Terror Live,2013,8.8,KR,Action/Thriller,0,0,,4.469993781094527
124,125,Before Sunset,2004,8.8,US,Drama/Romance,2700000,15992615,"paris, france/journalist/talking/soulmates/walking/bookshop/love of one's life/author",4.469993781094527
125,126,The Flirting Scholar,1993,8.6,HK,Drama/Comedy/Romance,0,0,disguise/15th century,4.469993781094527
126,127,Hotarubi no Mori e,2011,8.8,JP,Romance/Animation/Fantasy,0,0,supernatural/slice of life/based on manga/spirit/folklore/japanese mythology/anime,4.469993781094527
127,128,The Terminal,2004,8.8,US,Comedy/Drama,60000000,219417255,new york/airport/marriage proposal/translation/craftsman/stewardess/illegal immigration/language barrier/jfk international airport/immigration law/fast food restaurant/jazz musician/saxophonist/autograph/passport/eastern europe/friendship,4.469993781094527
128,129,Big Hero 6,2014,8.6,US,Adventure/Family/Animation/Action/Comedy,165000000,657818612,sibling relationship/hero/talent/friendship/revenge/best friend/another dimension/robot/boy genius/hate/aftercreditsstinger/moral dilemma/3d/teen superhero/dead brother,4.469993781094527
129,130,Nausicaä of the Valley of the Wind,1984,8.8,JP,Adventure/Animation/Fantasy,1000000,3301446,saving the world/human vs nature/fungus spores   /future/airplane/post-apocalyptic/war/giant insect/toxic/based on manga/ecology/duringcreditsstinger/anime,4.469993781094527
130,131,The Secret World of Arrietty,2010,8.8,JP,Fantasy/Animation/Family,23000000,145570827,japan/based on novel or book/cat/forest/based on children's book/little people/dollhouse/anime,4.469993781094527
131,132,Nobody Knows,2004,9.1,JP,Drama,0,0,"japan/sibling relationship/loss of loved one/season/tokyo, japan/kids on their own",4.469993781094527
132,133,Despicable Me,2010,8.6,US,Animation/Family/Comedy,69000000,543513985,parent child relationship/adoptive father/orphanage/life's dream/rivalry/stealing/ballet/little girl/orphan/tomboy/intelligent/kids/evil doctor/duringcreditsstinger/minions/supervillain/3d/despicable/cattivissimo,4.469993781094527
133,134,City of God,2002,8.9,BR,Drama/Crime,3300000,30641770,street gang/photographer/brazil/rio de janeiro/ghetto/gang war/coming of age/woman director,4.469993781094527
134,135,"Monsters, Inc.",2001,8.7,US,Animation/Comedy/Family,115000000,562816256,monster/cheating/kidnapping/infant/villain/panic/energy supply/company/portal/rivalry/hijinks/best friend/scream/chameleon/parallel world/conveyor belt/invisibility/energy company/friend/conspirators,4.469993781094527
135,136,Toy Story 3,2010,8.8,US,Animation/Family/Comedy,200000000,1066969703,hostage/college/toy/barbie/escape/day care/teddy bear/duringcreditsstinger/toy comes to life/personification/inanimate objects coming to life,4.469993781094527
136,137,Hacksaw Ridge,2016,8.7,AU,Drama/History/War,40000000,175302354,japan/world war ii/violent father/pacifism/bible/biography/war/okinawa/conscientious objector/based on a true story/gore/religion/soldier/religious/alcoholic/war hero/medic/us military/battle of okinawa/congressional medal of honor,4.469993781094527
137,138,Saw,2004,8.7,US,Horror/Mystery/Crime,1200000,103911669,shotgun/sadist/pistol/cult film/chained/bludgeoning/game of death,4.469993781094527
138,139,Echoes of the Rainbow,2010,8.7,HK,Comedy/Drama/Romance,0,0,school/childhood,4.469993781094527
139,140,The Wedding Banquet,1993,8.9,TW,Comedy/Drama/Romance,1000000,6933459,gay/new york/parent child relationship/husband wife relationship/coming out/wedding night/taiwan/homosexuality/independent film/man pretending to be straight/wedding/family/chinese restaurant/asian lgbt/gay couple,4.469993781094527
140,141,Seven Samurai,1954,9.2,JP,Action/Drama,2000000,271841,japan/samurai/sword/peasant/looting/rice/fencing/village/epic/moral ambiguity/battle/bandit/practice/16th century,4.469993781094527
141,142,The Bourne Ultimatum,2007,8.8,DE,Action/Drama/Mystery/Thriller,70000000,442824138,"paris, france/corruption/madrid/assassin/based on novel or book/europe/prosecution/dangerous/false identity/revelation/government/weapon/interpol/sequel/flashback/conspiracy/shootout/espionage/motorcycle/violence/foot chase/moskow/dark past/rooftop chase/langley virginia/security leak",4.469993781094527
142,143,A Better Tomorrow,1986,8.7,HK,Action/Crime/Drama,0,4469460,prison/sibling relationship/snake/conciliation/observer/arrest/triade/revenge/counterfeit/hong kong/police officer,4.469993781094527
143,144,About Time,2013,8.7,GB,Comedy/Drama/Romance/Fantasy,12000000,87100449,"london, england/beach/parent child relationship/sun/time travel/cornwall england/love/city/outdoor",4.469993781094527
144,145,Pride & Prejudice,2005,8.6,FR,Drama/Romance,28000000,121147947,based on novel or book/bachelor/prejudice/suitor/period drama/georgian/pride/18th century/opposites attract,4.469993781094527
145,146,A Perfect World,1993,9.1,US,Crime/Drama/Thriller,30000000,135130999,texas/hostage/escaped convict/prison escape/child kidnapping/child driving car/criminologist/1960s/kidnapped child,4.469993781094527
146,147,The Croods,2013,8.7,US,Action/Adventure/Animation/Comedy/Family/Fantasy,135000000,585178928,parent child relationship/stone age/daughter/father/prehistoric/ancient world/family/cavemen/aftercreditsstinger/duringcreditsstinger,4.469993781094527
147,148,Grave of the Fireflies,1988,8.7,JP,Animation/Drama/War,3700000,0,sibling relationship/hunger/world war ii/shelter/wartime/anime/orphan siblings/children in wartime,4.469993781094527
148,149,Ashes of Time,1994,8.6,HK,Drama/Action,0,0,,4.469993781094527
149,150,Whiplash,2014,8.7,US,Drama/Music,3300000,13092000,jazz/obsession/conservatory/music teacher/new york city/violence/montage/drummer/public humiliation/jazz band/young adult/music school,4.469993781094527
150,151,Love Actually,2003,8.6,GB,Comedy/Romance/Drama,40000000,244931766,"london, england/love at first sight/usa president/marseille/war on terror/office/christmas party/bars and restaurants/press conference/language barrier/prime minister/rock star/school performance/heathrow airport/multiple storylines/christmas",4.469993781094527
151,152,The Godfather: Part III,1990,8.9,IT,Crime/Drama/Thriller,54000000,136766062,italy/christianity/new york/assassination/italian american/vatican/pope/confession/helicopter/daughter/lawyer,4.469993781094527
152,153,Green Book,2018,8.9,US,Drama/Comedy,23000000,319700000,gay/southern usa/friendship/racism/pianist/driver/lgbt/music tour/1960s/america/roadtrip,4.469993781094527
153,154,Slumdog Millionaire,2008,8.6,GB,Drama/Romance,15000000,377910544,slum/indian lead/cheating/suspicion/game show/quiz show/orphan/duringcreditsstinger/taj mahal/mumbai,4.469993781094527
154,155,Once a Thief,1991,8.8,HK,Action/Comedy/Thriller/Crime,0,4303351,,4.469993781094527
155,156,Deep in the Heart,2014,8.7,CN,Drama,0,0,,4.469993781094527
156,157,Memento,2000,8.6,US,Mystery/Thriller,9000000,39723096,individual/insulin/tattoo/waitress/amnesia/motel/insurance salesman/revenge/flashback/confusion/memory loss/los angeles/polaroid/cult film/nonlinear timeline/individuality/neo-noir,4.469993781094527
157,158,Black Swan,2010,8.5,US,Drama/Thriller/Horror,13000000,327803731,dancing/competition/sex/dancer/obsession/paranoia/insanity/ballet/new york city/heartbreak/mental illness/madness/psychological horror/swan lake/ballerina,4.469993781094527
158,159,Django Unchained,2012,8.7,US,Drama/Western,100000000,425368238,bounty hunter/hero/plantation/society/friendship/friends/revenge/rivalry/rescue/shootout/racism/danger/dentist/django/aftercreditsstinger/odd couple/black slave/deadly/19th century,4.469993781094527
159,160,"Three Billboards Outside Ebbing, Missouri",2017,8.7,GB,Crime/Drama,15000000,158526998,suicide/rape/small town/missouri/alcoholism/murder/dark comedy/cancer/teenage girl/arson/police corruption/racism/anger/billboard/guilty conscience/molotov cocktail/police violence/pool hall,4.469993781094527
160,161,Wild Tales,2014,8.8,AR,Drama/Thriller/Comedy,0,27007072,revenge/wedding party/road rage,4.469993781094527
161,162,Dallas Buyers Club,2013,8.8,US,Drama/History,5000000,55198285,aids/rodeo/texas/biography/dallas texas/based on a true story/hiv/drugs/lgbt/treatment/1980s/trans woman,4.469993781094527
162,163,Nezha Conquers the Dragon King,1979,9.0,CN,Animation/Fantasy,0,0,,4.469993781094527
163,164,In the Mood for Love,2000,8.6,CN,Drama/Romance,0,12854953,adultery/lovesickness/martial arts/newspaper/husband wife relationship/married couple/shanghai/deceived husband/forbidden love/singapore/marriage crisis/secret love/neighbor/author/hong kong/extramarital affair/1960s,4.469993781094527
164,165,I Am Sam,2001,8.9,US,Drama,22000000,92542418,foster parents/pro bono/new baby/social services/learning/coffee shop manager/pizza hut/children's book/locked door/mentally handicapped man/child custody/woman director,4.469993781094527
165,166,Your Name.,2016,8.4,JP,Romance/Animation/Drama,0,357986087,japan/time travel/supernatural/afterlife/romance/school/body-swap/star crossed lovers/anime,4.469993781094527
166,167,Rain Man,1988,8.7,US,Drama,25000000,412800000,individual/loss of loved one/mentally disabled/autism/yuppie/car dealer/egocentrism/road trip/blackjack/cincinnati/travel/convertible/las vegas/psychiatrist/road movie/duringcreditsstinger/asperger's syndrome/savant,4.469993781094527
167,168,Hotel Rwanda,2004,8.9,CA,Drama/History/War,17500000,38000000,rwanda/refugee/refugee camp/militia/rwandan genocide/murder/slaughter/dead body/atrocity/african/cruelty/violence/united nations/death,4.469993781094527
168,169,Inside Out,2015,8.7,US,Drama/Comedy/Animation/Family,175000000,857611174,dream/cartoon/imaginary friend/elementary school/family/kids/unicorn/duringcreditsstinger/3d/emotions,4.469993781094527
169,170,Secrets of the Heavenly Book,19832019,9.2,CN,Animation,0,0,,4.469993781094527
170,171,Ready Player One,2018,8.7,IN,Adventure/Science Fiction,175000000,582890172,video game/based on novel or book/future/virtual reality/dystopia/nostalgia/love/evil corporation/quest/1980s/life/2040s/based on young adult novel/columbus ohio,4.469993781094527
171,172,You are Umasou,2010,8.8,JP,Adventure/Animation/Family,0,0,coming of age/dinosaur/based on children's book/anime,4.469993781094527
172,173,Manchester by the Sea,2016,8.6,US,Drama,9000000,75026965,boat/sadness/boston/massachusetts/funeral/brother/loss/grief/dysfunctional family/hospital/house fire/death/nephew/ex-wife/nonlinear timeline/mental health/ex-husband ex-wife relationship/legal guardian/dysfunctional life,4.469993781094527
173,174,Wreck-It Ralph,2012,8.7,US,Family/Animation/Comedy/Adventure,165000000,471222889,support group/product placement/bullying/racing/arcade/medal/self esteem/curiosity/precocious child/aftercreditsstinger/duringcreditsstinger/first person shooter/glitch/carefree/video gamer/q*bert/interrupted wedding/social reject/purpose of life,4.469993781094527
174,175,The Notebook,2004,8.5,US,Romance/Drama,29000000,115603229,poem/river/sadness/fight/love of one's life/dementia/class/secret love/tears/candle/mailbox,4.469993781094527
175,176,Ice Age,2002,8.5,US,Animation/Comedy/Family/Adventure,59000000,383257136,human evolution/loss of loved one/parent child relationship/squirrel/ice/mammoth/sloth/dying and death/stone age/prehistoric/saber-toothed tiger/cavemen/prehistoric creature/prehistoric adventure/prehistoric times/prehistoric man,4.469993781094527
176,177,Perfect Blue,1997,8.9,JP,Animation/Thriller,0,112536,japan/career/stalker/singer/female protagonist/split personality/j-pop/anime,4.469993781094527
177,178,The Imitation Game,2014,8.6,US,History/Drama/Thriller/War,14000000,233555708,gay/england/world war ii/mathematician/biography/lgbt/logician/cryptography,4.469993781094527
178,179,A Man Called Ove,2015,8.8,NO,Comedy/Drama,0,3371692,black humor/dark comedy/suicidal/pregnant woman/bitterness/saab/volvo,4.469993781094527
179,180,Hachi-ko,1987,9.1,JP,,0,0,based on a true story/dog/wakayama japan/doc actor/1920s/shibuya,4.469993781094527
180,181,Twenty Two,2015,8.7,CN,History/Documentary,0,0,,4.469993781094527
181,182,Kung Fu Hustle,2004,8.5,CN,Action/Comedy/Crime/Fantasy,20000000,101434304,martial arts/kung fu/magic/gangster/mafia/defense/policeman/1940s/anarchic comedy/canton,4.469993781094527
182,183,Don't Look Now: We're Being Shot At,1966,8.9,FR,Comedy/War,0,0,"paris, france/world war ii/british/paratroops/french resistance/farce/cult film/nazi occupation/1940s",4.469993781094527
183,184,Singin' in the Rain,1952,9.0,US,Comedy/Music/Romance,2540800,7200000,fan/morning/musical/talkie/partner/film in film/hollywood/broadway/audience/chorus girl/diction coach/pearl necklace/flapper/1920s,4.469993781094527
184,185,The Matrix Revolutions,2003,8.7,US,Adventure/Action/Thriller/Science Fiction,150000000,424988211,saving the world/artificial intelligence/man vs machine/flying/philosophy/fortune teller/martial arts/kung fu/underground world/killer robot/temple/subway/dream/sun/hero/fight/sunlight/computer virus/key/future/precognition/super computer/machine town/ying yang/dying and death/virtual reality/dystopia/computer/faith/truth/rescue/mission/cyberpunk/woman director/yin yang/gnosticism/trans director,4.469993781094527
185,186,Oceans,2009,9.1,FR,Documentary/Family,0,19406406,ocean/sea/fish/whale/duringcreditsstinger/nature & science,4.469993781094527
186,187,A.I. Artificial Intelligence,2001,8.6,US,Drama/Science Fiction/Adventure,100000000,235926552,artificial intelligence/prophecy/prostitute/loss of loved one/android/extraterrestrial technology/ice age/adoption/fairy tale/prosecution/gigolo/hologram/dystopia/alien/robot/destiny/capture/doppelgänger/robot boy,4.469993781094527
187,188,Rooms with Mao's Images,2015,8.8,CN,Documentary,0,0,,4.469993781094527
188,189,Our Little Sister,2015,8.7,JP,Drama/Comedy,0,346485,funeral/family/step sister/step siblings,4.469993781094527
189,190,Kiki's Delivery Service,1989,8.6,JP,Animation/Adventure/Drama/Fantasy/Family,6900000,18172849,clock tower/witch/cat/bicycle accident/broom/female friendship/bakery/coming of age/dog/baking/seaside town/talking cat/courier service/delivery service/anime,4.469993781094527
190,191,Legends of the Fall,1994,8.8,US,Adventure/Drama/Romance/War,30000000,160638883,sibling relationship/montana/based on novel or book/world war i/journey round the world/early 1900s,4.469993781094527
191,192,Triangle,2009,8.4,AU,Horror,12000000,1594955,ocean/florida/autism/key/yacht/ax/ship/ghost ship/murder/time loop/masked killer/blood/storm/single mother/heavy rain/ax murder/caribbean,4.469993781094527
192,193,Psycho,1960,8.9,US,Horror/Drama/Thriller,806948,32000000,hotel/clerk/arizona/shower/rain/motel/taxidermy/money/secretary/corpse/murderer/theft/private detective/proto-slasher,4.469993781094527
193,194,The Girl Who Leapt Through Time,2006,8.6,JP,Fantasy/Animation/Drama/Science Fiction,0,3800000,time travel/love/surrealism/slice of life/teenage girl/school/student/schoolgirl/teenage romance/pudding/anime,4.469993781094527
194,195,Rashomon,1950,8.8,JP,Crime/Drama/Mystery,250000,96568,japan/rape/samurai/rain/woodcutter/medium/sunlight/court case/dying and death/court/truth/criminal/based on short story/multiple perspectives,4.469993781094527
195,196,Waterloo Bridge,1940,8.8,US,Drama/Romance,0,0,world war ii/world war i/bridge/flashback/based on play or musical/british soldier/air raid/1910s,4.469993781094527
196,197,Train to Busan,2016,8.4,KR,Action/Horror/Thriller,8820000,87547518,korea/zombie/train/survival horror/busan,4.469993781094527
197,198,Perfect Strangers,2016,8.5,IT,Comedy/Drama,0,0,italy/italian/love/love fiction/smartphone,4.469993781094527
198,199,Trainspotting,1996,8.5,GB,Drama/Crime,4000000,16491080,"london, england/scotland/based on novel or book/drug addiction/drug dealer/nightclub/junkie/heroin/cold turkey/edinburgh/modern society/hallucination/friendship/surrealism/dark comedy/stealing/drug rehabilitation/monologue/drug dealing/drugs/cult film/recovering drug addict/illegal drugs/drug culture/antihero",4.469993781094527
199,200,Wonder,2017,8.6,US,Drama/Family,20000000,0,exclusion/bullying/coney island/prejudice/school/middle school/based on children's book/family/physical disability/treacher collins syndrome,4.469993781094527
200,201,Crazy Stone,2006,8.4,CN,Action/Comedy,0,0,,4.469993781094527
201,202,Terminator 2: Judgment Day,1991,8.7,US,Action/Thriller/Science Fiction,102000000,520000000,cyborg/shotgun/post-apocalyptic/dystopia/moral ambiguity/mental institution/violence/fictional war/morphing/nuclear weapons/shape shifter/savior/catch phrase,4.469993781094527
202,203,Days of Being Wild,1990,8.5,HK,Crime/Drama/Romance,0,141864,fight/radio/rain/underwear/kiss/philippines/beating/prostitution/drink/sailor,4.469993781094527
203,204,Perfume: The Story of a Murderer,2006,8.5,ES,Crime/Fantasy/Drama,50000000,132180323,"paris, france/prostitute/small town/obsession/orgy/bad smell/lone wolf/lavender/nose/child prodigy/fish market/daughter/supernatural/genius/children's home/murder/death/perfume",4.469993781094527
204,205,Mountain Patrol,2004,8.7,CN,Action/Drama,1200000,0,mountain/rabbit hunting,4.469993781094527
205,206,A Brighter Summer Day,1991,8.8,TW,Crime/Drama/Romance,0,0,baseball bat/elvis presley/high school/taiwan/murder/coming of age/gang/youth gang/juvenile delinquent/teenage boy/troubled teen/first love/taipei/1960s/filming/inspired by true events/slow cinema/teenage protagonist,4.469993781094527
206,207,A Little Thing Called Love,2010,8.4,TH,Comedy/Romance,0,0,,4.469993781094527
207,208,New World,2013,8.8,KR,Thriller,0,0,gangster/undercover cop/gang warfare/criminal gang/neo-noir,4.469993781094527
208,209,The Bourne Supremacy,2004,8.6,DE,Action/Drama/Thriller,75000000,288500217,berlin germany/assassin/based on novel or book/amnesia/sniper/lie/sequel/on the run/shootout/espionage/violence/foot chase/car chase/exploding house/one against many/rail car/dark past/moscow/hand to hand combat,4.469993781094527
209,210,The Bourne Identity,2002,8.6,US,Action/Drama/Mystery/Thriller,60000000,214034224,"paris, france/barcelona spain/assassin/based on novel or book/secret identity/amnesia/sniper/passport/mission of murder/lovers/flashback/escape/shootout/foot chase/cell phone/car chase/multiple identities/surveillance camera/hamburg germany/fishing boat/langley virginia/safe deposit box/hand to hand combat",4.469993781094527
210,211,Life is Fruity,2017,9.6,,Documentary,0,0,japan/nature,4.469993781094527
211,212,Lord of War,2005,8.6,FR,Crime/Drama/Thriller,50000000,72617068,cold war/weapon/arms dealer,4.469993781094527
212,213,2001: A Space Odyssey,1968,8.8,GB,Science Fiction/Mystery/Adventure,12000000,68700000,moon/jupiter/artificial intelligence/man vs machine/technology/super computer/human being/space travel/space mission/moon base/astronaut/cult film/evolution/monolith/space station/2000s,4.469993781094527
213,214,Like Stars on Earth,2007,8.9,IN,Drama,2600000,28430000,painter/jealousy/parent child relationship/father/boarding school/dyslexia/little boy/teacher/india/childhood/teachers and students,4.469993781094527
214,215,Before Midnight,2013,8.8,GR,Romance/Drama,3000000,11176469,hotel/airport/hotel room/greece/dream/greek/friends/author/writer/summer vacation/twins,4.469993781094527
215,216,The Wave,2008,8.7,DE,Drama/Thriller,7500000,19000000,dictator/trainer/classroom/experiment/fascism/group dynamics/education/national socialism/training/squatter/anarchist/group/gymnasium/high school/learning and teaching/violence in schools/homepage/high school teacher/water polo/autocracy,4.469993781094527
216,217,Green Snake,1993,8.5,HK,Action/Fantasy/Romance,0,0,,4.469993781094527
217,218,The Reader,2008,8.5,DE,Drama/Romance,32000000,113019290,germany/based on novel or book/war crimes/trial/female prisoner/teenager/law student/teenage sexuality/older woman younger man relationship/affair,4.469993781094527
218,219,New Dragon Gate Inn,1992,8.6,HK,Action,0,0,swordplay/wuxia,4.469993781094527
219,220,Inglourious Basterds,2009,8.5,DE,Drama/Action/Thriller/War,70000000,319131050,"paris, france/guerrilla/cinema/self sacrifice/dynamite/mexican standoff/world war ii/jew persecution/jew/nazi/masochism/sadism/anti semitism/swastika/german occupation of france/violence/british politics/hitler/adolf hitler",4.469993781094527
220,221,Source Code,2011,8.4,CA,Thriller/Science Fiction/Mystery,32000000,147332697,bomb/identity/bomber/suspicion/time travel/investigation/surrealism/soldier/helicopter pilot,4.469993781094527
221,222,Still Walking,2008,8.8,JP,Drama/Family,0,0,bereavement/family relationships/family reunion/family gathering,4.469993781094527
222,223,The Green Mile,1999,8.8,US,Fantasy/Drama/Crime,60000000,286801374,southern usa/mentally disabled/based on novel or book/death row/jail guard/great depression/supernatural/prison guard/jail/electric chair/magic realism/healing/1930s,4.469993781094527
223,224,Bajrangi Bhaijaan,2015,8.4,IN,Action/Comedy/Drama,13000000,150000000,,4.469993781094527
224,225,Begin Again,2013,8.5,US,Comedy/Music/Romance/Drama,8000000,63464861,new york/music/music band/music recording/female singer/singer-songwriter/street musician/recording session/street singer,4.469993781094527
225,226,Harry Potter and the Prisoner of Azkaban,2004,8.5,GB,Adventure/Fantasy,130000000,789804554,flying/traitor/magic/child hero/broom/school of witchcraft/black magic/time travel/best friend/werewolf/muggle/aftercreditsstinger/based on young adult novel/wizarding world,4.469993781094527
226,227,Blood Diamond,2006,8.6,DE,Drama/Thriller/Action,100000000,170877916,africa/rebel/loss of loved one/journalist/journalism/slavery/mercenary/diamond mine/sierra leone/bootlegger/fisherman/special unit/smuggling/rwandan genocide/oppression/1990s/private military company,4.469993781094527
227,228,Them That Follow,1998,8.9,US,Horror/Drama,0,0,pastor/snake/appalachia/pentecostalism,4.469993781094527
228,229,Coherence,2013,8.5,US,Thriller/Science Fiction,0,102617,clone/paranoia/comet/alter ego/reunion/power outage/candle/parallel world/alternate reality/dinner party/ketamine/quantum physics/friend/broken cellphone/glowstick,4.469993781094527
229,230,City Lights,1931,9.3,US,Comedy/Drama/Romance,1500000,19181,suicide attempt/operation/blindness and impaired vision/love of one's life/eye operation/flower shop/flower girl/tramp/love/black and white/millionaire/silent film/blind girl/little tramp,4.469993781094527
230,231,A Separation,2011,8.7,IR,Drama,500000,24426169,emigration/alzheimer's disease/class/money/maid/divorce/iran/caregiver/marital separation/iranian/tehran,4.469993781094527
231,232,Mad Max: Fury Road,2015,8.6,AU,Action/Adventure/Science Fiction,150000000,378858340,future/chase/post-apocalyptic/dystopia/australia/rescue/survival/on the run/convoy/peak oil/dark future,4.469993781094527
232,233,Harry Potter and the Chamber of Secrets,2002,8.5,DE,Adventure/Fantasy,100000000,876688482,flying car/witch/magic/child hero/broom/school of witchcraft/giant spider/giant snake/black magic/child driving car/aftercreditsstinger/based on young adult novel/wizarding world,4.469993781094527
233,234,Tokyo Story,1953,9.2,JP,Drama,0,0,coma/beach/baby/fish/boat/office/baseball/classroom/dream/trip/lantern/lie/ambition/water/tea/song/retirement/cake/marriage/peace/class/swing/honor/gift/teacher/school/old man,4.469993781094527
234,235,Crash,2004,8.6,DE,Drama,6500000,98410061,race politics/daughter/installer/police/fall/car crash/racism/los angeles/bigotry/social services/collision,4.469993781094527
235,236,Spotlight,2015,8.8,CA,Drama/Thriller/History,20000000,88346473,gay/child abuse/journalism/newspaper/judge/florida/boston/pedophilia/sex scandal/victim/court/cover-up/based on a true story/priest/conspiracy/lawyer/catholic/catholic church/lgbt/catholicism/archdiocese/investigative journalism/cardinal,4.469993781094527
236,237,The Bucket List,2007,8.6,US,Drama/Comedy,45000000,175372502,africa/himalaya/brain tumor/parent child relationship/husband wife relationship/sense of life/male friendship/safari/dying and death/wish/journey round the world/terminal illness/billionaire/estranged father/elderly/bucket list/taj mahal,4.469993781094527
237,238,A Clockwork Orange,1971,8.5,GB,Science Fiction/Drama,2200000,26589000,street gang/sexuality/based on novel or book/parent child relationship/great britain/social worker/society/dystopia/satire/controversial/violence/cult film/futuristic society,4.469993781094527
238,239,Requiem for a Dream,2000,8.7,US,Crime/Drama,4500000,7390108,drug addiction/junkie/heroin/speed/diet/unsociability/illegal prostitution,4.469993781094527
239,240,Black Hawk Down,2001,8.6,GB,Action/History/War,92000000,172989651,prisoner of war/wound/somalia/warlord/famine/delta force/rescue operation,4.469993781094527
240,241,"Lust, Caution",2007,8.4,TW,Action/Drama/Romance/Thriller,15000000,0,sexual obsession/china/sex/resistance/in love with enemy/cheating/traitor/shanghai/insurgence/war on freedom/lover/occupying power/insurrection/secret love/love/extramarital affair/resistance fighter,4.469993781094527
241,242,Shoplifters,2018,8.7,JP,Drama/Crime,0,0,"secret/family drama/tokyo, japan/poverty/orphan/shoplifting/petty crimes",4.469993781094527
242,243,E.T. the Extra-Terrestrial,1982,8.6,US,Science Fiction/Adventure/Family/Fantasy,10500000,792965326,farewell/loss of loved one/homesickness/nasa/extraterrestrial technology/operation/space marine/hiding place/riding a bicycle/flying saucer/prosecution/halloween/frog/flowerpot/finger/single/alien/children/single mother,4.469993781094527
243,244,Mr. Donkey,2016,8.3,CN,Comedy,0,356255,,4.469993781094527
244,245,Late Blossom,2011,9.0,KR,Drama/Romance,0,0,,4.469993781094527
245,246,Thelma & Louise,1991,8.7,US,Drama/Thriller/Crime/Adventure,16000000,45361000,usa/southern usa/waitress/self-defense/highway/female friendship/arkansas/grand canyon/road trip,4.469993781094527
246,247,Gattaca,1997,8.7,US,Thriller/Science Fiction/Mystery/Romance,36000000,12532777,paraplegic/suicide attempt/cheating/dna/spaceman/new identity/heart disease/false identity/blood sample/biotechnology/space mission/dystopia/investigation/genetics/hostility/exercise/eugenics/dystopian future,4.469993781094527
247,248,The Great Buddha+,2017,8.7,TW,Comedy/Drama,0,0,,4.469993781094527
248,249,Face/Off,1997,8.5,US,Action/Crime/Science Fiction/Thriller,80000000,245676146,undercover/mexican standoff/fbi/biological weapon/face transplant/rage and hate/fistfight/hostility/revenge/deception/prison escape/flashback/tragedy/shootout/hospital/boat chase/los angeles/explosion/criminal gang/golden gun/arch villain/bullet ballet,4.469993781094527
249,250,The Man from Earth,2007,8.5,US,Science Fiction/Drama,200000,0,philosophy/secret/birthday/professor/psychology/bible/time/legend/immortality/history/survival/prehistoric/memory/anthropology/religion/church/science/cavemen,4.469993781094527
